event_category,event_day,AAR,CAAR
activity,8,-0.0002802428290660758,0.007770071913215658
activity,9,0.0008512824645559801,0.008621354377771638
activity,10,-0.0007681776575697268,0.007853176720201912
comeback,-10,-0.0011784968631838304,-0.0011784968631838304
comeback,-9,-0.0012441375778470744,-0.002422634441030905
comeback,-8,-0.009024828170991603,-0.011447462612022508
comeback,-7,0.002466443085453423,-0.008981019526569085
comeback,-6,0.004673380627253972,-0.004307638899315113
comeback,-5,-0.0034430819135139496,-0.007750720812829062
comeback,-4,0.00607066699679525,-0.0016800538160338125
comeback,-3,-0.007248886582304347,-0.008928940398338159
comeback,-2,-0.005969814533404944,-0.014898754931743103
comeback,-1,0.001877830029174427,-0.013020924902568676
comeback,0,0.0025601208704508958,-0.010460804032117781
comeback,1,0.004637977083127855,-0.005822826948989925
comeback,2,0.0005080383333023214,-0.005314788615687604
comeback,3,0.0009737435265535258,-0.0043410450891340786
comeback,4,-0.0004501297606552585,-0.004791174849789337
comeback,5,-0.005808458896174466,-0.010599633745963802
comeback,6,0.0014512681168821742,-0.009148365629081629
comeback,7,0.002388024474783209,-0.006760341154298419
comeback,8,-0.002584994140585766,-0.009345335294884185
comeback,9,-0.0033659253761256012,-0.012711260671009786
comeback,10,0.004803323539439859,-0.007907937131569927
concert,-10,0.00023666498682299312,0.00023666498682299312
concert,-9,-0.0019161012492412953,-0.0016794362624183022
concert,-8,-0.00719563557828369,-0.008875071840701992
concert,-7,-0.000708663559111769,-0.009583735399813761
concert,-6,0.008269778966764398,-0.0013139564330493618
concert,-5,0.00021898753477761295,-0.0010949688982717489
concert,-4,0.0037140740090579882,0.0026191051107862396
concert,-3,-0.007901648416795623,-0.005282543306009383
concert,-2,0.003804089712245682,-0.0014784535937637016
concert,-1,-0.001382052196066506,-0.0028605057898302075
concert,0,0.001169663523692736,-0.0016908422661374718
concert,1,0.007464375661275046,0.005773533395137574
concert,2,-0.0011606118719349238,0.00461292152320265
concert,3,0.0016515411146502408,0.0062644626378528905
concert,4,0.001041275681215065,0.007305738319067955
concert,5,-0.003809406758287206,0.0034963315607807496
concert,6,0.0029995160035852634,0.006495847564366013
concert,7,0.004130759739216501,0.010626607303582513
concert,8,-0.003490205076739167,0.007136402226843347
concert,9,-0.0045522067638385354,0.0025841954630048116
concert,10,-0.0008705901539465226,0.001713605309058289
contract_member,-10,-0.003019930333950659,-0.003019930333950659
contract_member,-9,0.002408740808151169,-0.0006111895257994897
contract_member,-8,0.00418866015104451,0.00357747062524502
contract_member,-7,-0.004981913252241038,-0.0014044426269960181
contract_member,-6,-0.00037499463722156763,-0.0017794372642175858
contract_member,-5,-0.003603510742883021,-0.005382948007100607
contract_member,-4,-0.0021040716721151486,-0.007487019679215756
contract_member,-3,-0.004951515349198941,-0.012438535028414697
contract_member,-2,0.002653466449758412,-0.009785068578656284
contract_member,-1,-0.0009206308042879642,-0.010705699382944248
contract_member,0,-0.0021036638991047073,-0.012809363282048956
contract_member,1,-0.0044896422830802965,-0.01729900556512925
contract_member,2,-0.01589585679978629,-0.03319486236491554
contract_member,3,-8.765349378176204e-05,-0.033282515858697306
contract_member,4,-0.010816633975468885,-0.044099149834166185
contract_member,5,-0.009361720093241816,-0.053460869927408006
contract_member,6,0.0036678993411159728,-0.049792970586292035
contract_member,7,-0.004071837340284961,-0.05386480792657699
contract_member,8,-0.0005008467645575981,-0.05436565469113459
contract_member,9,-0.009648424304895011,-0.0640140789960296
contract_member,10,0.0030684294895606985,-0.0609456495064689
dating,-10,0.00827804738079871,0.00827804738079871
dating,-9,-0.0012082800805477488,0.0070697673002509615
dating,-8,0.005177310017116448,0.012247077317367409
dating,-7,0.0018117076786125484,0.014058784995979958
dating,-6,-0.010526434842579653,0.0035323501534003047
dating,-5,0.016693063997362926,0.020225414150763232
dating,-4,-0.003194479707160134,0.017030934443603096
dating,-3,-0.00963501695679804,0.007395917486805055
dating,-2,-0.009612888023242018,-0.002216970536436963
dating,-1,-0.010558594080767363,-0.012775564617204326
dating,0,0.0006960756832677696,-0.012079488933936556
dating,1,-0.002926367153434919,-0.015005856087371474
dating,2,3.8151843904819636e-05,-0.014967704243466655
dating,3,-0.008423328571550906,-0.02339103281501756
dating,4,0.0006992836611855118,-0.02269174915383205
dating,5,-0.0015320770667514708,-0.02422382622058352
dating,6,0.0024332169307494152,-0.021790609289834104
dating,7,0.0004902539656580118,-0.021300355324176092
dating,8,0.004528165946527083,-0.01677218937764901
dating,9,0.0011098419236499556,-0.015662347453999054
dating,10,0.0038944380240213913,-0.011767909429977663
