predictor,outcome,correlation,abs_correlation,N
log_instagram_followers,CAR_m1_p1,-0.08719458896937116,0.08719458896937116,165
youtube_channel_views,CAR_m1_p1,-0.08559522576778891,0.08559522576778891,165
log_youtube_channel_views,CAR_m1_p1,-0.07268692155475032,0.07268692155475032,165
market_cap,CAR_m1_p1,-0.0485196978535036,0.0485196978535036,165
company_scale_weight,CAR_m1_p1,-0.04851969785350359,0.04851969785350359,165
log_market_cap,CAR_m1_p1,-0.04325611002318592,0.04325611002318592,165
revenue,CAR_m1_p1,-0.0376921720851769,0.0376921720851769,165
log_youtube_channel_videos,CAR_m1_p1,0.031238069007736926,0.031238069007736926,165
log_revenue,CAR_m1_p1,-0.02820645866774579,0.02820645866774579,165
youtube_channel_videos,CAR_m1_p1,0.018098326365751382,0.018098326365751382,165
youtube_channel_subscribers,CAR_m5_p5,-0.23525654435572857,0.23525654435572857,165
youtube_channel_views,CAR_m5_p5,-0.21744239716758665,0.21744239716758665,165
log_youtube_channel_subscribers,CAR_m5_p5,-0.21523648441674523,0.21523648441674523,165
fanbase_weight,CAR_m5_p5,-0.20954804745083833,0.20954804745083833,165
instagram_followers,CAR_m5_p5,-0.18243248251123043,0.18243248251123043,165
spotify_monthly_listeners,CAR_m5_p5,-0.1514087406467553,0.1514087406467553,165
log_youtube_channel_views,CAR_m5_p5,-0.14511477538902082,0.14511477538902082,165
log_youtube_channel_videos,CAR_m5_p5,0.11293687762495586,0.11293687762495586,165
log_spotify_monthly_listeners,CAR_m5_p5,-0.10060189490840864,0.10060189490840864,165
youtube_channel_videos,CAR_m5_p5,0.09045207848748417,0.09045207848748417,165
log_market_cap,CAR_m5_p5,0.08513728311135611,0.08513728311135611,165
log_revenue,CAR_m5_p5,0.07911151552762642,0.07911151552762642,165
log_instagram_followers,CAR_m5_p5,-0.07615164442072109,0.07615164442072109,165
revenue,CAR_m5_p5,0.05997045625892355,0.05997045625892355,165
market_cap,CAR_m5_p5,0.0545226003242791,0.0545226003242791,165
company_scale_weight,CAR_m5_p5,0.05452260032427909,0.05452260032427909,165
