event_type_final,event_day,AAR,CAAR
positive_resolution,-4,-0.0029167887955235164,0.016011943444628234
positive_resolution,-3,0.008201420938170393,0.024213364382798627
positive_resolution,-2,-0.0020077531313169588,0.02220561125148167
positive_resolution,-1,0.004264274566198991,0.026469885817680658
positive_resolution,0,0.03374236625545272,0.060212252073133375
positive_resolution,1,0.014561523368780088,0.07477377544191346
positive_resolution,2,-0.02019978812010753,0.054573987321805933
positive_resolution,3,-0.008582318747908916,0.04599166857389702
positive_resolution,4,-0.01156252990868752,0.0344291386652095
positive_resolution,5,-0.009810907739738738,0.02461823092547076
positive_resolution,6,-0.00434162077079788,0.02027661015467288
positive_resolution,7,-0.004485588298657221,0.01579102185601566
positive_resolution,8,-0.001359446414558038,0.01443157544145762
positive_resolution,9,-0.0058668453999869375,0.008564730041470684
positive_resolution,10,-0.0033427575123662415,0.005221972529104443
negative_PR_crisis,-10,-0.0005977233136621495,-0.0005977233136621495
negative_PR_crisis,-9,0.003117500270027529,0.0025197769563653797
negative_PR_crisis,-8,-0.003082827131065699,-0.0005630501747003196
negative_PR_crisis,-7,-0.0003050657326072882,-0.0008681159073076078
negative_PR_crisis,-6,0.003255426289840068,0.00238731038253246
negative_PR_crisis,-5,0.0033408084309072264,0.005728118813439686
negative_PR_crisis,-4,-0.0027948758349687726,0.002933242978470914
negative_PR_crisis,-3,-0.00547073548738375,-0.0025374925089128356
negative_PR_crisis,-2,0.0017294281057955423,-0.0008080644031172933
negative_PR_crisis,-1,-0.002093872695570606,-0.0029019370986878993
negative_PR_crisis,0,0.003363698331255745,0.0004617612325678458
negative_PR_crisis,1,-0.0031642413617377534,-0.0027024801291699076
negative_PR_crisis,2,-0.0014852476482358167,-0.0041877277774057245
negative_PR_crisis,3,0.007677771155904823,0.0034900433784990983
negative_PR_crisis,4,0.0002647056673556567,0.003754749045854755
negative_PR_crisis,5,0.001169557135334381,0.004924306181189136
negative_PR_crisis,6,-0.0021871718514048116,0.0027371343297843244
negative_PR_crisis,7,0.0029074147057972233,0.005644549035581548
negative_PR_crisis,8,0.0005200077316870306,0.006164556767268578
negative_PR_crisis,9,-0.003102760121908844,0.0030617966453597343
negative_PR_crisis,10,0.0013693380539271589,0.004431134699286893
negative_contract_crisis,-10,-0.00190363521310304,-0.00190363521310304
negative_contract_crisis,-9,0.0006514461311331307,-0.0012521890819699095
negative_contract_crisis,-8,-0.0002506488379243893,-0.0015028379198942987
