date,company,ticker,open,high,low,close,adj_close,volume,daily_return,peer_avg_return,abnormal_return,event_id,event_day,event0_date,group,member,event_category,event_subtype,event_title_en,start_date,peak_date,end_date,sentiment_expected,severity_score,duration_days,source_level,event_type_final
2024-02-08,HYBE,352820.KS,197700.0,202000.0,197000.0,200000.0,199545.6875,182164,0.0131712249726336,0.007398490131926466,0.005772734840707133,LESSERAFIM_20240219_SMART_MINOR_CONTROVERSY,-5,2024-02-19,LE SSERAFIM,Eunchae,PR_crisis,minor_choreography_controversy,Smart choreography receives criticism over minor member concept,2024-02-19,2024-02-20,2024-03-04,negative,4.0,15,C_platform_data,negative_PR_crisis
2024-02-13,HYBE,352820.KS,203000.0,206000.0,200000.0,205500.0,205033.203125,181950,0.0275000461986931,0.0031238937568041666,0.024376152441888933,LESSERAFIM_20240219_SMART_MINOR_CONTROVERSY,-4,2024-02-19,LE SSERAFIM,Eunchae,PR_crisis,minor_choreography_controversy,Smart choreography receives criticism over minor member concept,2024-02-19,2024-02-20,2024-03-04,negative,4.0,15,C_platform_data,negative_PR_crisis
2024-02-14,HYBE,352820.KS,203000.0,223000.0,200500.0,218500.0,218003.671875,403422,0.0632603332158472,0.029171488527397604,0.034088844688449596,LESSERAFIM_20240219_SMART_MINOR_CONTROVERSY,-3,2024-02-19,LE SSERAFIM,Eunchae,PR_crisis,minor_choreography_controversy,Smart choreography receives criticism over minor member concept,2024-02-19,2024-02-20,2024-03-04,negative,4.0,15,C_platform_data,negative_PR_crisis
2024-02-15,HYBE,352820.KS,220500.0,223000.0,215000.0,217500.0,217005.9375,163423,-0.0045766861008289,0.01441824379849,-0.0189949298993189,LESSERAFIM_20240219_SMART_MINOR_CONTROVERSY,-2,2024-02-19,LE SSERAFIM,Eunchae,PR_crisis,minor_choreography_controversy,Smart choreography receives criticism over minor member concept,2024-02-19,2024-02-20,2024-03-04,negative,4.0,15,C_platform_data,negative_PR_crisis
2024-02-16,HYBE,352820.KS,221000.0,221500.0,206500.0,208500.0,208026.375,270500,-0.0413793401390226,-0.0026083366517981334,-0.03877100348722447,LESSERAFIM_20240219_SMART_MINOR_CONTROVERSY,-1,2024-02-19,LE SSERAFIM,Eunchae,PR_crisis,minor_choreography_controversy,Smart choreography receives criticism over minor member concept,2024-02-19,2024-02-20,2024-03-04,negative,4.0,15,C_platform_data,negative_PR_crisis
2024-02-19,HYBE,352820.KS,208500.0,211000.0,202500.0,204000.0,203536.59375,252342,-0.0215827500238852,-0.0002550611160987666,-0.021327688907786434,LESSERAFIM_20240219_SMART_MINOR_CONTROVERSY,0,2024-02-19,LE SSERAFIM,Eunchae,PR_crisis,minor_choreography_controversy,Smart choreography receives criticism over minor member concept,2024-02-19,2024-02-20,2024-03-04,negative,4.0,15,C_platform_data,negative_PR_crisis
2024-02-20,HYBE,352820.KS,203500.0,206500.0,199900.0,204000.0,203536.59375,151584,0.0,-0.004465831392444467,0.004465831392444467,LESSERAFIM_20240219_SMART_MINOR_CONTROVERSY,1,2024-02-19,LE SSERAFIM,Eunchae,PR_crisis,minor_choreography_controversy,Smart choreography receives criticism over minor member concept,2024-02-19,2024-02-20,2024-03-04,negative,4.0,15,C_platform_data,negative_PR_crisis
2024-02-21,HYBE,352820.KS,204500.0,213500.0,204500.0,210000.0,209522.984375,270699,0.0294118640520877,0.011700583536813166,0.017711280515274534,LESSERAFIM_20240219_SMART_MINOR_CONTROVERSY,2,2024-02-19,LE SSERAFIM,Eunchae,PR_crisis,minor_choreography_controversy,Smart choreography receives criticism over minor member concept,2024-02-19,2024-02-20,2024-03-04,negative,4.0,15,C_platform_data,negative_PR_crisis
2024-02-22,HYBE,352820.KS,212000.0,221500.0,210000.0,217500.0,217005.9375,348458,0.0357142351103931,-0.009274102479862866,0.044988337590255965,LESSERAFIM_20240219_SMART_MINOR_CONTROVERSY,3,2024-02-19,LE SSERAFIM,Eunchae,PR_crisis,minor_choreography_controversy,Smart choreography receives criticism over minor member concept,2024-02-19,2024-02-20,2024-03-04,negative,4.0,15,C_platform_data,negative_PR_crisis
2024-02-23,HYBE,352820.KS,217500.0,221000.0,215000.0,215500.0,215010.46875,161378,-0.0091954569215415,-0.005735439783163966,-0.0034600171383775344,LESSERAFIM_20240219_SMART_MINOR_CONTROVERSY,4,2024-02-19,LE SSERAFIM,Eunchae,PR_crisis,minor_choreography_controversy,Smart choreography receives criticism over minor member concept,2024-02-19,2024-02-20,2024-03-04,negative,4.0,15,C_platform_data,negative_PR_crisis
