event_id,company,event0_date,event_type_final,confounded_same_company_m10_p10
STRAY_KIDS_20240712_NAN_FESTIVAL_HEADLINER_STRAY_KIDS_HEADLINES_I,JYP,2024-07-12,positive_concert,True
STRAY_KIDS_20240714_NAN_FESTIVAL_HEADLINER_STRAY_KIDS_HEADLINES_B,JYP,2024-07-15,positive_concert,True
STRAY_KIDS_20240718_NAN_CONTRACT_RENEWAL_ALL_EIGHT_STRAY_KIDS_MEM,JYP,2024-07-18,positive_resolution,True
STRAY_KIDS_20240802_NAN_FESTIVAL_HEADLINER_STRAY_KIDS_HEADLINES_L,JYP,2024-08-02,positive_concert,True
STRAY_KIDS_20240824_NAN_WORLD_TOUR_START_STRAY_KIDS_BEGINS_DOMINA,JYP,2024-08-26,positive_concert,False
STRAY_KIDS_20240724_BANG_CHAN_CHANGBIN_HAN_SOUNDTRACK_RELEASE_3RA,JYP,2024-07-24,positive_activity,True
STRAY_KIDS_20241118_NAN_STADIUM_DATES_ANNOUNCEMENT_STRAY_KIDS_ANN,JYP,2024-11-18,positive_concert,False
STRAY_KIDS_20250528_NAN_STADIUM_CONCERT_STRAY_KIDS_PERFORMS_DOMIN,JYP,2025-05-28,positive_concert,False
STRAY_KIDS_20250727_NAN_SOLD_OUT_STADIUM_CONCERT_STRAY_KIDS_PERFO,JYP,2025-07-28,positive_concert,False
NCT_20210825_LUCAS_PRIVATE_LIFE_CONTROVERSY_LUCAS_APOLOGIZ,SM,2021-08-25,negative_PR_crisis,False
NCT_20211217_NAN_OFFLINE_CONCERT_START_NCT_127_BEGINS_NEO_,SM,2021-12-17,positive_concert,False
NCT_20220908_NAN_WORLD_TOUR_START_NCT_DREAM_BEGINS_THE_DRE,SM,2022-09-08,positive_concert,False
NCT_20230826_NAN_GROUP_CONCERT_START_NCT_BEGINS_NCT_NATION,SM,2023-08-28,positive_concert,False
NCT_20230510_LUCAS_MEMBER_DEPARTURE_LUCAS_LEAVES_NCT_AND_W,SM,2023-05-10,artist_transition,True
NCT_20231117_NAN_TOUR_START_NCT_127_BEGINS_NEO_CITY_THE_UN,SM,2023-11-17,positive_concert,False
NCT_20240221_NAN_NEW_UNIT_DEBUT_NCT_WISH_DEBUTS_AS_THE_FIN,SM,2024-02-21,positive_activity,True
NCT_20240422_DOYOUNG_SOLO_ACTIVITY_DOYOUNG_BEGINS_SOLO_ART,SM,2024-04-22,positive_activity,True
NCT_20240502_NAN_WORLD_TOUR_START_NCT_DREAM_BEGINS_THE_DRE,SM,2024-05-02,positive_concert,True
NCT_20240604_JOHNNY_HAECHAN_RUMOR_DENIAL_SM_DENIES_RUMORS_,SM,2024-06-04,negative_PR_crisis,True
NCT_20240828_TAEIL_CRIMINAL_ALLEGATION_MEMBER_REMOVED_TAEI,SM,2024-08-28,negative_PR_crisis,True
NCT_20240828_TAEIL_MEMBER_REMOVED_TAEIL_S_REMOVAL_CHANGES_,SM,2024-08-28,negative_contract_crisis,True
NCT_20250118_NAN_WORLD_TOUR_START_NCT_127_BEGINS_NEO_CITY_,SM,2025-01-20,positive_concert,False
NCT_20250407_MARK_SOLO_ACTIVITY_MARK_BEGINS_SOLO_ACTIVITIE,SM,2025-04-07,positive_activity,False
NCT_20250710_NAN_WORLD_TOUR_START_NCT_DREAM_BEGINS_THE_DRE,SM,2025-07-10,positive_concert,False
EXO_20220928_CHANYEOL_MILITARY_DISCHARGE_ACTIVITY_RETURN_C,SM,2022-09-28,positive_activity,False
EXO_20230601_CHEN_BAEKHYUN_XIUMIN_CONTRACT_TERMINATION_NOT,SM,2023-06-01,negative_contract_crisis,True
EXO_20230619_CHEN_BAEKHYUN_XIUMIN_CONTRACT_DISPUTE_SETTLEM,SM,2023-06-19,positive_resolution,True
EXO_20230511_KAI_MEMBER_ENLISTMENT_KAI_BEGINS_MANDATORY_MI,SM,2023-05-11,artist_transition,True
EXO_20231018_D_O_AGENCY_DEPARTURE_SOLO_MANAGEMENT_D_O_LEAV,SM,2023-10-18,artist_transition,False
EXO_20240414_NAN_FAN_MEETING_EXO_HOLDS_2024_EXO_FAN_MEETIN,SM,2024-04-15,positive_concert,True
EXO_20240610_CHEN_BAEKHYUN_XIUMIN_AGENCY_CONFLICT_PRESS_CO,SM,2024-06-10,negative_PR_crisis,True
EXO_20240610_CHEN_BAEKHYUN_XIUMIN_CONTRACT_DISPUTE_REIGNIT,SM,2024-06-10,negative_contract_crisis,True
EXO_20240316_BAEKHYUN_SOLO_CONCERT_TOUR_BAEKHYUN_BEGINS_LO,SM,2024-03-18,positive_activity,True
EXO_20240525_SUHO_SOLO_CONCERT_TOUR_SUHO_BEGINS_SU_HOME_SO,SM,2024-05-27,positive_activity,True
EXO_20240906_CHANYEOL_SOLO_CONCERT_TOUR_CHANYEOL_BEGINS_CI,SM,2024-09-06,positive_activity,True
EXO_20250210_KAI_MILITARY_DISCHARGE_ACTIVITY_RETURN_KAI_IS,SM,2025-02-10,positive_activity,False
EXO_20250517_KAI_SOLO_CONCERT_KAI_BEGINS_2025_KAION_SOLO_C,SM,2025-05-19,positive_concert,True
EXO_20250923_CHEN_BAEKHYUN_XIUMIN_SETTLEMENT_FAILURE_SM_AN,SM,2025-09-23,negative_contract_crisis,False
EXO_20251029_CHEN_BAEKHYUN_XIUMIN_FAN_MEETING_ABSENCE_EXO_,SM,2025-10-29,negative_PR_crisis,False
BIGBANG_20220207_T_O_P_AGENCY_DEPARTURE_T_O_P_LEAVES_YG_ENTERT,YG,2022-02-07,artist_transition,False
BIGBANG_20220405_NAN_GROUP_COMEBACK_ACTIVITY_BIGBANG_RETURNS_W,YG,2022-04-05,positive_activity,False
BIGBANG_20230531_T_O_P_MEMBER_DEPARTURE_CONFIRMED_T_O_P_CONFIR,YG,2023-05-31,artist_transition,True
BIGBANG_20231106_G_DRAGON_DRUG_ALLEGATION_INVESTIGATION_G_DRAG,YG,2023-11-06,negative_PR_crisis,False
BIGBANG_20231219_G_DRAGON_DRUG_ALLEGATION_CLEARED_G_DRAGON_IS_,YG,2023-12-19,positive_resolution,True
BIGBANG_20231221_G_DRAGON_AGENCY_TRANSFER_G_DRAGON_JOINS_GALAX,YG,2023-12-21,artist_transition,True
BIGBANG_20240305_DAESUNG_SOLO_ACTIVITY_DAESUNG_EXPANDS_SOLO_AC,YG,2024-03-05,positive_activity,False
BIGBANG_20240601_G_DRAGON_BRAND_EVENT_G_DRAGON_RESUMES_MAJOR_P,YG,2024-06-03,positive_activity,False
BIGBANG_20241123_G_DRAGON_TAEYANG_DAESUNG_REUNION_STAGE_G_DRAG,YG,2024-11-25,positive_activity,False
BIGBANG_20241226_T_O_P_ACTING_RETURN_T_O_P_RETURNS_TO_ACTING_T,YG,2024-12-26,positive_activity,False
BIGBANG_20250329_G_DRAGON_SOLO_WORLD_TOUR_START_G_DRAGON_BEGIN,YG,2025-03-31,positive_concert,False
BIGBANG_20250623_G_DRAGON_NORTH_AMERICA_EUROPE_TOUR_ANNOUNCEME,YG,2025-06-23,positive_concert,False
BIGBANG_20250809_G_DRAGON_SEUNGRI_SUPPORT_SIGNS_CONTROVERSY_SI,YG,2025-08-11,negative_PR_crisis,False
BIGBANG_20251101_G_DRAGON_TAIPEI_DOME_CONCERT_G_DRAGON_PERFORM,YG,2025-11-03,positive_concert,False
BIGBANG_20251214_G_DRAGON_TOUR_CONCLUSION_G_DRAGON_CONCLUDES_2,YG,2025-12-15,positive_concert,False
