date,company,ticker,open,high,low,close,adj_close,volume,daily_return
2021-03-29,SM,041510.KQ,29900.0,29900.0,29350.0,29450.0,28027.951171875,204677,-0.011744831020981117
2021-03-30,SM,041510.KQ,29500.0,29900.0,29450.0,29550.0,28123.12109375,198435,0.0033955361664286254
2021-03-31,SM,041510.KQ,29600.0,29750.0,29500.0,29600.0,28170.705078125,128913,0.0016919880342005644
2021-04-01,SM,041510.KQ,29750.0,29950.0,29550.0,29950.0,28503.8046875,164424,0.011824326315270639
2021-04-02,SM,041510.KQ,30000.0,30000.0,29700.0,29700.0,28265.87890625,111965,-0.008347158698934654
2021-04-05,SM,041510.KQ,29950.0,29950.0,29550.0,29650.0,28218.291015625,136234,-0.0016835807859658658
2021-04-06,SM,041510.KQ,29850.0,30000.0,29600.0,29850.0,28408.634765625,166001,0.006745403181737775
2021-04-07,SM,041510.KQ,29950.0,30950.0,29850.0,30700.0,29217.58984375,583967,0.028475675962572167
2021-04-08,SM,041510.KQ,30750.0,30750.0,30300.0,30350.0,28884.490234375,225382,-0.011400653207754408
2021-04-09,SM,041510.KQ,30350.0,30500.0,30050.0,30200.0,28741.734375,232221,-0.004942301498715995
2021-04-12,SM,041510.KQ,30300.0,30650.0,30150.0,30400.0,28932.078125,191473,0.00662255615880869
2021-04-13,SM,041510.KQ,30650.0,30700.0,30300.0,30400.0,28932.078125,159801,0.0
2021-04-14,SM,041510.KQ,30550.0,30750.0,30300.0,30450.0,28979.66015625,189043,0.001644611598393464
2021-04-15,SM,041510.KQ,30450.0,30900.0,30350.0,30750.0,29265.177734375,295386,0.009852343905538241
2021-04-16,SM,041510.KQ,30750.0,30900.0,30500.0,30800.0,29312.759765625,159485,0.0016258924405612163
2021-04-19,SM,041510.KQ,30850.0,30850.0,30350.0,30400.0,28932.078125,212622,-0.01298689184057733
2021-04-20,SM,041510.KQ,30450.0,30600.0,30350.0,30400.0,28932.078125,176383,0.0
2021-04-21,SM,041510.KQ,30300.0,30400.0,29700.0,29950.0,28503.8046875,310087,-0.014802719516021634
2021-04-22,SM,041510.KQ,30100.0,30100.0,29850.0,29950.0,28503.8046875,158025,0.0
2021-04-23,SM,041510.KQ,29950.0,30000.0,29550.0,29700.0,28265.87890625,173506,-0.008347158698934654
2021-04-26,SM,041510.KQ,29800.0,30150.0,29550.0,30000.0,28551.392578125,166121,0.010101001027492229
2021-04-27,SM,041510.KQ,30000.0,30650.0,29950.0,30650.0,29170.00390625,307421,0.021666590392475538
